P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5)
0.3674731314221779,0.040164560393358285,0.040142171752243286,0.45033213363997726,0.10188800279224318
0.06365774842435118,0.06340213032949289,0.06340273893135566,0.06396292536845462,0.7455744569463457
0.067548874593615,0.06741642290779203,0.06741782294944969,0.06741543100530145,0.7302014485438418
0.7623638930872667,0.059373133886353395,0.059373855720328696,0.05938527851714932,0.05950383878890187
0.0732190960338986,0.07324262613025818,0.07324447686746881,0.7070618352331709,0.0732319657352035
0.7305495818762979,0.06729052796508099,0.06729087586858806,0.06729053921509902,0.06757847507493396
0.1156337667297421,0.04721905772181984,0.04720801507945602,0.04734745815020456,0.7425917023187775
0.10000023898899231,0.10000056264388733,0.10000058538609359,0.10000053821408336,0.5999980747669434
0.2916388673848121,0.06937116535413748,0.06937196301209331,0.49863301221328626,0.07098499203567077
0.06690377594873657,0.5843241646840657,0.0671182938802426,0.06678799121928698,0.21486577426766815
0.10000004490693107,0.5999996593414523,0.10000011091367104,0.10000010339834776,0.1000000814395978
0.22224941812085608,0.055635548132396025,0.6112934561199267,0.055482846736428656,0.055338730890392526
0.4197767357448836,0.07488330009528654,0.35558346476329994,0.0748821910563394,0.07487430834019056
0.6634846883623647,0.08359614027205385,0.08359633068216217,0.08572762266805622,0.0835952180153632
0.10000040028831038,0.10000098034709066,0.10000102822557301,0.10000096048006649,0.5999966306589595
0.1983007690500416,0.3126765543341108,0.06855788339137203,0.3506903013769312,0.06977449184754442
0.06200763870450506,0.06200347692946796,0.06200460304977965,0.7519872936241481,0.06199698769209936
0.7182959542443949,0.06773064374473757,0.06773070537680327,0.07399838931476226,0.07224430731930186
0.058292462421435993,0.058236475335538024,0.7670235606342564,0.05822819927305404,0.058219302335715616
0.10000004490693107,0.5999996593414523,0.10000011091367104,0.10000010339834776,0.1000000814395978
0.06253529211789455,0.06236439819631618,0.06262107635842899,0.17024731508380703,0.6422319182435532
0.2419294862034257,0.04920369794874738,0.049203419890922216,0.04922253454889368,0.6104408614080109
0.47032431480341536,0.04586816251557822,0.045872294814061465,0.04586701680615321,0.39206821106079176
